cohort	outcome	Ref	exposure	adjustments	Grouping	Order	coef	coef_se	lower_ci	upper_ci	n
TwinsUK	yes (suspected or tested C19)	no C19	sex(femalevmale)	"model3(age, ethnicity)"	Sex	15	1.1301745	0.129040413	0.8826122	1.4646622	5290
TwinsUK	yes (suspected or tested C19)	no C19	age(45-69+vs18-44)	"model3(age, ethnicity)"	Age	14	0.6989071	0.09615185	0.5794036	0.8447814	5292
TwinsUK	yes (suspected or tested C19)	no C19	age(70+vs18-44)	"model3(sex, ethnicity)"	Age	13	0.3425074	0.12241971	0.2688771	0.4346451	5292
TwinsUK	yes (suspected or tested C19)	no C19	eth(ethminorityvswhite)	"model2(sex, age)"	Ethnicity	12	0.8965431	0.229749746	0.558754	1.3804139	5289
TwinsUK	yes (suspected or tested C19)	no C19	edu(no degreevsdegree)	"model3(age, sex, ethnicity)"	Education	11	0.7617814	0.104186694	0.6204435	0.9336088	4284
TwinsUK	yes (suspected or tested C19)	no C19	IMD	"model3(age, sex, ethnicity)"	SEP	10	0.9577191	0.033021237	0.8979334	1.0220676	5250
TwinsUK	yes (suspected or tested C19)	no C19	s-r health(poorvsgood)	"model3(age, sex, ethnicity)"	Gen_health	9	1.3527287	0.16470264	0.97019887	1.8527419	3407
TwinsUK	yes (suspected or tested C19)	no C19	pre-pandemic mh score	"model3(age, sex, ethnicity)"	M_Health_cont	8	1.12265955	0.060514234	0.99733136	1.2644456	2911
TwinsUK	yes (suspected or tested C19)	no C19	pre-pandemic mh (casevscontrol)	"model3(age, sex, ethnicity)"	M_Health_binary	7	1.165451	0.22938133	0.727988322	1.7952785	2824
TwinsUK	yes (suspected or tested C19)	no C19	bmi score	"model3(age, sex, ethnicity)"	BMI	6	1.0122733	0.011486203	0.9893653	1.0349663	3019
TwinsUK	yes (suspected or tested C19)	no C19	bmi (overweight/obesevsnormal)	"model3(age, sex, ethnicity)"	Overweight_obese	5	1.1250785	0.119713978	0.890252	1.4238647	3019
