cohort	outcome	Ref	exposure 	adjustments	Grouping	Order	coef	coef_se	lower_ci	upper_ci	n
USoc	12+ weeks	0-12 weeks	sex(femalevmale)	see model1(age)	Sex	13	1.015059	0.321943	0.542714	1.898504	926
USoc	12+ weeks	0-12 weeks	age(45-69+vs18-44)	model2(sex)	Age	12	1.417409	0.519523	0.68747	2.922378	926
USoc	12+ weeks	0-12 weeks	age(70+vs18-44)	model2(sex)	Age	11	4.180253	1.666418	1.90297	9.182762	926
USoc	12+ weeks	0-12 weeks	eth(ethminorityvswhite)	"model2(age, sex)"	Ethnicity	10	0.334209	0.07374	0.216196	0.516642	923
USoc	12+ weeks	0-12 weeks	edu(no degreevsdegree)	"model2(age, sex)"	Education	9	1.12525	0.376268	0.580947	2.179522	843
USoc	12+ weeks	0-12 weeks	s-r health(poorvsgood)	"model2(age, sex)"	Gen_health	8	1.156816	0.431254	0.554165	2.414846	924
USoc	12+ weeks	0-12 weeks	pre-pandemic mh score	"model2(age, sex)"	M_Health_cont	7	1.169734	0.178937	0.864833	1.582129	925
USoc	12+ weeks	0-12 weeks	pre-pandemic mh (casevscontrol)	"model2(age, sex)"	M_Health_binary	6	1.477802	0.489528	0.768456	2.841934	926
USoc	12+ weeks	0-12 weeks	diabetes (yesvsno)	"model2(age, sex)"	Diabetes	5	1.047602	0.436136	0.460543	2.382993	926
USoc	12+ weeks	0-12 weeks	hypertension (yesvsno)	"model2(age, sex)"	Hypertension	4	0.660354	0.268628	0.295812	1.474139	926
USoc	12+ weeks	0-12 weeks	asthma (yesvsno)	"model2(age, sex)"	Asthma	3	0.966544	0.33734	0.485283	1.925078	926
USoc	12+ weeks	0-12 weeks	social class (RoutineNEvsProfManInt)	"model2(age, sex)"	Social_class	2	1.26707	0.507701	0.574478	2.794651	923
USoc	12+ weeks	0-12 weeks	smoking(yesvsno)	"model2(age, sex)"	Smoking	1	1.178153	0.487395	0.520624	2.666115	926
USoc	4-12+ weeks	0-4 weeks	sex(femalevmale)	see model1(age)	Sex	13	0.935026	0.209255	0.601109	1.454432	926
USoc	4-12+ weeks	0-4 weeks	age(45-69+vs18-44)	model2(sex)	Age	12	1.213247	0.268911	0.783291	1.879209	926
USoc	4-12+ weeks	0-4 weeks	age(70+vs18-44)	model2(sex)	Age	11	2.937252	1.109506	1.393454	6.191413	926
USoc	4-12+ weeks	0-4 weeks	eth(ethminorityvswhite)	"model2(age, sex)"	Ethnicity	10	0.605723	0.313004	0.218388	1.68004	923
USoc	4-12+ weeks	0-4 weeks	edu(no degreevsdegree)	"model2(age, sex)"	Education	9	0.933283	0.22916	0.574361	1.516496	843
USoc	4-12+ weeks	0-4 weeks	s-r health(poorvsgood)	"model2(age, sex)"	Gen_health	8	1.4913	0.357369	0.929194	2.393446	924
USoc	4-12+ weeks	0-4 weeks	pre-pandemic mh score	"model2(age, sex)"	M_Health_cont	7	1.080359	0.130655	0.850902	1.371692	925
USoc	4-12+ weeks	0-4 weeks	pre-pandemic mh (casevscontrol)	"model2(age, sex)"	M_Health_binary	6	1.005671	0.260395	0.603209	1.676658	926
USoc	4-12+ weeks	0-4 weeks	diabetes (yesvsno)	"model2(age, sex)"	Diabetes	5	1.535474	0.642157	0.672497	3.505862	926
USoc	4-12+ weeks	0-4 weeks	hypertension (yesvsno)	"model2(age, sex)"	Hypertension	4	1.194614	0.328286	0.694425	2.055083	926
USoc	4-12+ weeks	0-4 weeks	asthma (yesvsno)	"model2(age, sex)"	Asthma	3	1.031316	0.212033	0.68727	1.547591	926
USoc	4-12+ weeks	0-4 weeks	social class (RoutineNEvsProfManInt)	"model2(age, sex)"	Social_class	2	0.789305	0.168634	0.517697	1.203412	923
USoc	4-12+ weeks	0-4 weeks	smoking(yesvsno)	"model2(age, sex)"	Smoking	1	0.949385	0.3294	0.478606	1.883246	926
TwinsUK	12+ weeks	0-12 weeks	sex(femalevmale)	see model1(age)	Sex	15	1.4263901	0.37574373	0.64533318	2.8593705	803
TwinsUK	12+ weeks	0-12 weeks	age(45-69+vs18-44)	model2(sex)	Age	14	2.1001616	0.5771353	0.76732449	7.8913608	803
TwinsUK	12+ weeks	0-12 weeks	age(70+vs18-44)	model2(sex)	Age	13	1.7892322	0.5862276	0.63831581	6.807266	803
TwinsUK	12+ weeks	0-12 weeks	eth(ethminorityvswhite)	"model2(sex, age)"	Ethnicity	12	1.1724063	0.67698241	0.23841134	3.7717303	802
TwinsUK	12+ weeks	0-12 weeks	edu(no degreevsdegree)	"model2(age, sex)"	Education	11	0.446167	0.30432829	0.23971464	0.7959062	623
TwinsUK	12+ weeks	0-12 weeks	IMD	"model2(age, sex)"	SEP	10	1.052322	0.10505918	0.85950021	1.2992588	800
TwinsUK	12+ weeks	0-12 weeks	s-r health(poorvsgood)	"model2(age, sex)"	Gen_health	9	0.9597275	0.47508441	0.34038095	2.267273	489
TwinsUK	12+ weeks	0-12 weeks	pre-pandemic mh score	"model2(age, sex)"	M_Health	8	0.9031522	0.1340286	0.6934812	1.1738932	803
TwinsUK	12+ weeks	0-12 weeks	pre-pandemic mh (casevscontrol)	"model2(age, sex)"	M_Health	7	0.4748835	0.91571292	0.04277756	2.0711565	357
TwinsUK	12+ weeks	0-12 weeks	bmi score	"model2(age, sex)"	BMI	6	0.9947707	0.02317663	0.94960175	1.0401984	803
TwinsUK	12+ weeks	0-12 weeks	bmi (overweight/obesevsnormal)	"model2(age, sex)"	Overweight_obese	5	1.3720345	0.4023682	0.64558299	3.1836898	372
TwinsUK	12+ weeks	0-12 weeks	diabetes (yesvsno)	"model2(age, sex)"	Diabetes	4	1.0295258	0.67282731	0.21408232	3.3121905	536
TwinsUK	12+ weeks	0-12 weeks	hypertension (yesvsno)	"model2(age, sex)"	Hypertension	3	1.6232083	0.32438025	0.8465633	3.0415325	589
TwinsUK	12+ weeks	0-12 weeks	cholesterol (yesvsno)	"model2(age, sex)"	Cholesterol	2	1.530276	0.32014355	0.80954778	2.8572851	590
TwinsUK	12+ weeks	0-12 weeks	asthma (yesvsno)	"model2(age, sex)"	Asthma	1	2.2004144	0.56402497	0.74721694	7.047208	114
TwinsUK	4-12+ weeks	0-4 weeks	sex(femalevmale)	see model1(age)	Sex	15	1.3341899	0.26512504	0.7818044	2.2200002	803
TwinsUK	4-12+ weeks	0-4 weeks	age(45-69+vs18-44)	model2(sex)	Age	14	1.94014	0.342845	1.0220963	3.9623077	803
TwinsUK	4-12+ weeks	0-4 weeks	age(70+vs18-44)	model2(sex)	Age	13	1.363491	0.3504319	0.706271	2.8203352	803
TwinsUK	4-12+ weeks	0-4 weeks	eth(ethminorityvswhite)	"model2(age, sex)"	Ethnicity	12	0.7595469	0.50454824	0.2533581	1.9070633	802
TwinsUK	4-12+ weeks	0-4 weeks	edu(no degreevsdegree)	"model2(age, sex)"	Education	11	0.7700952	0.1943476	0.5246111	1.1249608	623
TwinsUK	4-12+ weeks	0-4 weeks	IMD	"model2(age, sex)"	SEP	10	1.0393075	0.06965104	0.9075212	1.1928821	800
TwinsUK	4-12+ weeks	0-4 weeks	s-r health(poorvsgood)	"model2(age, sex)"	Gen_health	9	0.8586682	0.33327328	0.4322567	1.611812	489
TwinsUK	4-12+ weeks	0-4 weeks	pre-pandemic mh score	"model2(age, sex)"	M_Health_cont	8	1.094457	0.08914537	0.9191798	1.3042738	803
TwinsUK	4-12+ weeks	0-4 weeks	pre-pandemic mh (casevscontrol)	"model2(age, sex)"	M_Health_binary	7	1.3394464	0.44930317	0.5263008	3.134895	357
TwinsUK	4-12+ weeks	0-4 weeks	bmi score	"model2(age, sex)"	BMI	6	0.9932456	0.01543793	0.9633528	1.023547	803
TwinsUK	4-12+ weeks	0-4 weeks	bmi (overweight/obesevsnormal)	"model2(age, sex)"	Overweight_obese	5	1.6783461	0.25616744	1.02688297	2.812392	372
TwinsUK	4-12+ weeks	0-4 weeks	diabetes (yesvsno)	"model2(age, sex)"	Diabetes	4	0.685241	0.51216486	0.2244502	1.7419492	536
TwinsUK	4-12+ weeks	0-4 weeks	hypertension (yesvsno)	"model2(age, sex)"	Hypertension	3	1.4893682	0.22697641	0.9502584	2.3174443	589
TwinsUK	4-12+ weeks	0-4 weeks	cholesterol (yesvsno)	"model2(age, sex)"	Cholesterol	2	1.3337323	0.2218835	0.8607426	2.057162	590
TwinsUK	4-12+ weeks	0-4 weeks	asthma (yesvsno)	"model2(age, sex)"	Asthma	1	2.6305101	0.47359504	1.06055998	6.910122	114
ALSPAC G1	12+ weeks	0-12 weeks	sex(femalevmale)	"model2(age, sex)"	Sex	11	2.250007031	0.787477241	1.133112096	4.467811838	668
ALSPAC G1	12+ weeks	0-12 weeks	eth(ethminorityvswhite)	"model2(age, sex)"	Ethnicity	10	1.302408403	0.808733478	0.385648498	4.398481156	668
ALSPAC G1	12+ weeks	0-12 weeks	edu(no degreevsdegree)	"model2(age, sex)"	Education	9	0.41522201	0.177374983	0.179747633	0.959174345	487
ALSPAC G1	12+ weeks	0-12 weeks	IMD	"model2(age, sex)"	SEP	8	0.808374824	0.101782096	0.631594575	1.034635005	626
ALSPAC G1	12+ weeks	0-12 weeks	s-r health(poorvsgood)	"model2(age, sex)"	Gen_health	7	0.864142126	0.535905465	0.256274226	2.913838144	526
ALSPAC G1	12+ weeks	0-12 weeks	pre-pandemic mh score	"model2(age, sex)"	M_Health_cont	6	0.926149488	0.182807901	0.62902337	1.363626402	470
