cohort	outcome	Ref	exposure 	adjustments	Grouping	Order	coef	coef_se	lower_ci	upper_ci	n
TwinsUK	12+ weeks	0-12 weeks	sex(femalevmale)	"model3(age, ethnicity)"	Sex	14	3.8561817	0.74168273	1.129983245	24.178147	377
TwinsUK	12+ weeks	0-12 weeks	age(45-69+vs18-44)	"model3(age, ethnicity)"	Age	13	1.62411841	0.3697719	0.809489364	3.4939417	377
TwinsUK	12+ weeks	0-12 weeks	age(70+vs18-44)	"model3(sex, ethnicity)"	Age	12	0.82493594	0.6169684	0.217224322	2.5943336	377
TwinsUK	12+ weeks	0-12 weeks	eth(ethminorityvswhite)	"see model2(sex, age)"	Ethnicity	11	0.3863826	1.04578132	0.021099926	1.9830541	377
TwinsUK	12+ weeks	0-12 weeks	edu(no degreevsdegree)	"model3(age, sex, ethnicity)"	Education	10	0.35445086	0.40379078	0.151972817	0.7519036	297
TwinsUK	12+ weeks	0-12 weeks	IMD	"model3(age, sex, ethnicity)"	SEP	9	0.9591857	0.09263837	0.800331	1.15172	376
TwinsUK	12+ weeks	0-12 weeks	s-r health(poorvsgood)	"model3(age, sex, ethnicity)"	Gen_health	8	0.7945849	0.79226464	0.11938127	3.142113	226
TwinsUK	12+ weeks	0-12 weeks	pre-pandemic mh score	"model3(age, sex, ethnicity)"	M_Health	7	1.01707865	0.03743275	0.9422113	1.092739	158
TwinsUK	12+ weeks	0-12 weeks	pre-pandemic mh (casevscontrol)	"model3(age, sex, ethnicity)"	M_Health	6	0.467921637	1.06898661	0.02499645	2.585993	165
TwinsUK	12+ weeks	0-12 weeks	bmi score 	"model3(age, sex, ethnicity)"	BMI	5	0.991933921	0.04711047	0.8994472	1.083476	175
TwinsUK	12+ weeks	0-12 weeks	bmi (overweight/obesevsnormal)	"model3(age, sex, ethnicity)"	Overweight_obese	4	1.80807046	0.50377843	0.69397494	5.1373	175
TwinsUK	12+ weeks	0-12 weeks	hypertension (yesvsno)	"model3(age, sex, ethnicity)"	Hypertension	3	1.34505797	0.49058017	0.484502182	3.3978953	275
TwinsUK	12+ weeks	0-12 weeks	cholesterol (yesvsno)	"model3(age, sex, ethnicity)"	Cholesterol	2	0.742078351	0.55042865	0.227555092	2.0442415	276
TwinsUK	12+ weeks	0-12 weeks	asthma (yesvsno)	"model3(age, sex, ethnicity)"	Asthma	1	0.852071	0.570412	0.25383	2.473302	139
TwinsUK	4-12+ weeks	0-4 weeks	sex(femalevmale)	"model3(age, ethnicity)"	Sex	14	1.8246918	0.378454854	0.8996545	4.0246389	377
TwinsUK	4-12+ weeks	0-4 weeks	age(45-69+vs18-44)	"model3(sex, ethnicity)"	Age	13	1.1588537	0.2534639	0.70851763	1.9180527	377
TwinsUK	4-12+ weeks	0-4 weeks	age(70+vs18-44)	"model3(sex, ethnicity)"	Age	12	0.4915336	0.4466058	0.19367337	1.1367877	377
TwinsUK	4-12+ weeks	0-4 weeks	eth(ethminorityvswhite)	"see model2(age, sex)"	Ethnicity	11	0.4691547	0.652474385	0.1057576	1.4968342	377
TwinsUK	4-12+ weeks	0-4 weeks	edu(no degreevsdegree)	"model3(age, sex, ethnicity)"	Education	10	0.57024	0.280748902	0.32499454	0.9799465	297
TwinsUK	4-12+ weeks	0-4 weeks	IMD	"model3(age, sex, ethnicity)"	SEP	9	0.9591857	0.09263837	0.800331	1.15172	376
TwinsUK	4-12+ weeks	0-4 weeks	s-r health(poorvsgood)	"model3(age, sex, ethnicity)"	Gen_health	8	0.5717335	0.67635029	0.1248735	1.944673	226
TwinsUK	4-12+ weeks	0-4 weeks	pre-pandemic mh score	"model3(age, sex, ethnicity)"	M_Health	7	1.0329845	0.03065258	0.97207376	1.097129	158
TwinsUK	4-12+ weeks	0-4 weeks	pre-pandemic mh (casevscontrol)	"model3(age, sex, ethnicity)"	M_Health	6	2.3936342	0.61098885	0.70400309	8.139757	165
TwinsUK	4-12+ weeks	0-4 weeks	bmi score	"model3(age, sex, ethnicity)"	BMI	5	0.9790118	0.03384206	0.91413881	1.0448042	175
TwinsUK	4-12+ weeks	0-4 weeks	bmi (overweight/obesevsnormal)	"model3(age, sex, ethnicity)"	Overweight_obese	4	1.1264452	0.34195507	0.57871017	2.2216692	175
TwinsUK	4-12+ weeks	0-4 weeks	hypertension (yesvsno)	"model3(age, sex, ethnicity)"	Hypertension	3	2.0519801	0.37893967	0.96671235	4.305019	275
TwinsUK	4-12+ weeks	0-4 weeks	cholesterol (yesvsno)	"model3(age, sex, ethnicity)"	Cholesterol	2	0.6567285	0.4264287	0.271270885	1.4669616	276
TwinsUK	4-12+ weeks	0-4 weeks	asthma (yesvsno)	"model3(age, sex, ethnicity)"	Asthma	1	0.443635	0.50044	0.155173	1.128584	139
ALSPAC G1	12+ weeks	0-12 weeks	sex(femalevmale)	"model3(age,sex, eth)"	Sex	10	2.489962467	1.605042148	0.70388882	8.808085759	193
