cohort	outcome	Ref	exposure 	adjustments	Grouping	Order	coef	coef_se	lower_ci	upper_ci	n
USoc	12+ weeks	0-12 weeks	sex(femalevmale)	see model1(age)	Sex	13	0.886576	0.274027	0.481643	1.631951	926
USoc	12+ weeks	0-12 weeks	age(45-69+vs18-44)	model2(sex)	Age	12	1.240031	0.422697	0.632681	2.430411	926
USoc	12+ weeks	0-12 weeks	age(70+vs18-44)	model2(sex)	Age	11	3.573319	1.343618	1.700982	7.506613	926
USoc	12+ weeks	0-12 weeks	eth(ethminorityvswhite)	"model2(age, sex)"	Ethnicity	10	0.246825	0.054979	0.159006	0.383146	923
USoc	12+ weeks	0-12 weeks	edu(no degreevsdegree)	"model2(age, sex)"	Education	9	1.522934	0.448535	0.850744	2.726234	843
USoc	12+ weeks	0-12 weeks	s-r health(poorvsgood)	"model2(age, sex)"	Gen_health	8	1.583688	0.591249	0.757843	3.309483	924
USoc	12+ weeks	0-12 weeks	pre-pandemic mh score	"model2(age, sex)"	M_Health	7	1.11035	0.16318	0.830726	1.484097	925
USoc	12+ weeks	0-12 weeks	pre-pandemic mh (casevscontrol)	"model2(age, sex)"	M_Health	6	1.198373	0.401038	0.618969	2.320145	925
USoc	12+ weeks	0-12 weeks	diabetes (yesvsno)	"model2(age, sex)"	Diabetes	5	1.248485	0.66377	0.437088	3.566135	926
USoc	12+ weeks	0-12 weeks	hypertension (yesvsno)	"model2(age, sex)"	Hypertension	4	0.768688	0.330249	0.329164	1.795092	926
USoc	12+ weeks	0-12 weeks	asthma (yesvsno)	"model2(age, sex)"	Asthma	3	1.007026	0.367926	0.489557	2.071466	926
USoc	12+ weeks	0-12 weeks	social class (RoutineNEvsProfManInt)	"model2(age, sex)"	Social_class	2	1.532062	0.574154	0.731105	3.2105	923
USoc	12+ weeks	0-12 weeks	smoking(yesvsno)	"model2(age, sex)"	Smoking	1	1.436316	0.631975	0.602591	3.423556	926
USoc	4-12+ weeks	0-4 weeks	sex(femalevmale)	see model1(age)	Sex	13	0.780157	0.20977	0.458837	1.326494	926
USoc	4-12+ weeks	0-4 weeks	age(45-69+vs18-44)	model2(sex)	Age	12	1.101876	0.252802	0.700542	1.73313	926
USoc	4-12+ weeks	0-4 weeks	age(70+vs18-44)	model2(sex)	Age	11	2.623748	1.037003	1.202455	5.724997	926
USoc	4-12+ weeks	0-4 weeks	eth(ethminorityvswhite)	"model2(age, sex)"	Ethnicity	10	0.500888	0.24322	0.192051	1.306362	923
USoc	4-12+ weeks	0-4 weeks	edu(no degreevsdegree)	"model2(age, sex)"	Education	9	0.983698	0.248263	0.597262	1.620163	843
USoc	4-12+ weeks	0-4 weeks	s-r health(poorvsgood)	"model2(age, sex)"	Gen_health	8	1.632104	0.399732	1.006376	2.646887	924
USoc	4-12+ weeks	0-4 weeks	pre-pandemic mh score	"model2(age, sex)"	M_Health	7	1.050833	0.122574	0.834691	1.322946	925
USoc	4-12+ weeks	0-4 weeks	pre-pandemic mh (casevscontrol)	"model2(age, sex)"	M_Health	6	0.947535	0.246175	0.56734	1.582513	925
USoc	4-12+ weeks	0-4 weeks	diabetes (yesvsno)	"model2(age, sex)"	Diabetes	5	2.080305	0.830814	0.945648	4.576403	926
USoc	4-12+ weeks	0-4 weeks	hypertension (yesvsno)	"model2(age, sex)"	Hypertension	4	1.175871	0.40021	0.600567	2.302276	926
USoc	4-12+ weeks	0-4 weeks	asthma (yesvsno)	"model2(age, sex)"	Asthma	3	1.010146	0.201375	0.681509	1.49726	926
USoc	4-12+ weeks	0-4 weeks	social class (RoutineNEvsProfManInt)	"model2(age, sex)"	Social_class	2	0.856366	0.183258	0.561297	1.306551	923
USoc	4-12+ weeks	0-4 weeks	smoking(yesvsno)	"model2(age, sex)"	Smoking	1	1.031761	0.410913	0.470037	2.264784	926
TwinsUK	12+ weeks	0-12 weeks	sex(femalevmale)	see model1(age)	Sex	15	1.7459973	0.43958092	0.7972546	4.6027245	803
TwinsUK	12+ weeks	0-12 weeks	age(45-69+vs18-44)	model2(sex)	Age	14	2.007838	0.2968977	1.14733403	3.7014869	803
TwinsUK	12+ weeks	0-12 weeks	age(70+vs18-44)	model2(sex)	Age	13	1.3877605	0.4089746	0.60698108	3.06789783	803
TwinsUK	12+ weeks	0-12 weeks	eth(ethminorityvswhite)	"model2(sex, age)"	Ethnicity	12	0.6518601	0.74490659	0.1036012	2.2469817	802
TwinsUK	12+ weeks	0-12 weeks	edu(no degreevsdegree)	"model2(age, sex)"	Education	11	0.5888402	0.28423379	0.33058054	1.0124874	623
TwinsUK	12+ weeks	0-12 weeks	IMD	"model2(age, sex)"	SEP	10	1.0304641	0.09472017	0.85810752	1.2451357	800
TwinsUK	12+ weeks	0-12 weeks	s-r health(poorvsgood)	"model2(age, sex)"	Gen_health	9	0.6032602	0.54132468	0.17672954	1.5609209	489
TwinsUK	12+ weeks	0-12 weeks	pre-pandemic mh score	"model2(age, sex)"	M_Health	8	1.0593874	0.11928011	0.83857251	1.339404	803
